"state_code","pairs","coh_old","coh_new","state_abbr","delta","gamma_new","gamma_old"
"01",21,85.7142857142857,85.7142857142857,"AGS",0,0,0.00891032467122692
"02",8,75,75,"BC",0,0,0.45
"03",5,100,100,"BCS",0,0,0.45
"04",21,95.2380952380952,95.2380952380952,"CAMP",0,0.15,0.306806184009733
"05",90,82.2222222222222,84.4444444444444,"COAH",2.22222222222223,0.8,0.267765822088927
"06",19,94.7368421052632,94.7368421052632,"COL",0,0.15,0.0161735571371696
"07",320,76.875,81.5625,"CHPS",4.6875,0.6,0.0208503619210132
"08",173,84.971098265896,87.2832369942196,"CHIH",2.3121387283237,0.8,0.253360084077867
"09",33,93.9393939393939,93.9393939393939,"CDMX",0,0,0
"10",94,84.0425531914894,84.0425531914894,"DGO",0,0.3,0.222950215634451
"11",102,88.2352941176471,93.1372549019608,"GTO",4.90196078431373,0.45,0.0292309237300794
"12",202,86.1386138613861,89.1089108910891,"GRO",2.97029702970298,1,0.0442242178950384
"13",201,83.5820895522388,89.5522388059701,"HGO",5.97014925373135,1,0
"14",309,88.673139158576,91.2621359223301,"JAL",2.58899676375405,0.6,0.0247571455301816
"15",318,76.1006289308176,78.3018867924528,"MEX",2.20125786163521,1,0
"16",289,82.3529411764706,88.2352941176471,"MICH",5.88235294117648,1,0.010265730624542
"17",85,84.7058823529412,88.2352941176471,"MOR",3.52941176470588,1,0
"18",42,88.0952380952381,90.4761904761905,"NAY",2.38095238095239,0.8,0.103455139497351
"19",122,80.327868852459,82.7868852459016,"NL",2.45901639344262,0.8,0.0908055907231226
"20",1653,71.3248638838475,77.3139745916515,"OAX",5.989110707804,0.8,0
"21",556,76.978417266187,82.1942446043166,"PUE",5.2158273381295,1,0
"22",33,87.8787878787879,90.9090909090909,"QRO",3.03030303030303,0.6,0.0273820253287221
"23",14,100,100,"QROO",0,0.15,0.271687364890689
"24",136,86.7647058823529,88.9705882352941,"SLP",2.20588235294117,1,0.0716226761718711
"25",31,96.7741935483871,96.7741935483871,"SIN",0,0,0.224363646551249
"26",180,82.2222222222222,84.4444444444444,"SON",2.22222222222223,0.6,0.185544917072089
"27",32,78.125,87.5,"TAB",9.375,0.3,0.108736605359405
"28",87,86.2068965517241,89.6551724137931,"TAM",3.44827586206898,0.3,0.139884946612568
"29",154,75.974025974026,79.8701298701299,"TLAX",3.8961038961039,0.6,0
"30",546,72.5274725274725,78.5714285714286,"VER",6.04395604395604,1,0
"31",288,81.9444444444444,84.7222222222222,"YUC",2.77777777777777,0.45,0
"32",124,84.6774193548387,87.9032258064516,"ZAC",3.2258064516129,0.3,0.0941397224427028
