"gamma","state_code","n","true_km2_per_cell","cohesion_pct","pairs","pairs_kept","disp_km","disp_km_p95","area_p5","area_p95","area_min","area_max","leg_ratio","leg_minmax","tiny_frac","leg_print","dia_mm_p5","leg_print_nat","dia_mm_nat_p5","leg_ratio_req","leg_ratio_clamp","clamp_bind_frac","iq_mean","wsum_pct_indig","asum_pct_indig","vsum_pct_indig","vn_pct_indig","wsum_pct_afro","asum_pct_afro","vsum_pct_afro","vn_pct_afro","wsum_sex_ratio","asum_sex_ratio","vsum_sex_ratio","vn_sex_ratio","wsum_log_dens","asum_log_dens","vsum_log_dens","vn_log_dens","knn_used","newton_it","maxerr_pct","eng_cohesion","state_abbr","converged"
0,"03",5,14788.6,100,5,5,103.7950584531,134.515676826893,0.986235329066238,1.013475773813,0.985685607030997,1.01511861553688,0.973121760331504,0.971005350453239,0,1,27.406283751108,1,8.42133930069317,1,1,0,0.46116586169388,144377.137979136,73298.1108767474,9.87982122174978,5,183978.170741138,73298.1108767474,12.5107856308683,5,7616662.65447195,73298.1108767474,519.622866554661,5,70087.0869258468,73298.1108767474,4.7520057840819,5,60,4,0,100,"BCS",TRUE
0.15,"03",5,14788.6,100,5,5,88.7004095229402,124.127539622279,0.856307668139416,1.13868145272334,0.855374066851056,1.15477015673404,0.752016875388127,0.740731012022562,0,1,25.5372827451915,1,7.84703700684338,0.740702465804806,0.740702465804806,0,0.478055222434598,151434.957435301,73298.1401522644,9.87982122174978,5,174969.75504358,73298.1401522644,12.5107856308683,5,7610226.84919285,73298.1401522644,519.622866554661,5,66627.4803416023,73298.1401522644,4.7520057840819,5,60,4,0,100,"BCS",TRUE
0.3,"03",5,14788.6,100,5,5,74.0367115345186,113.635992224213,0.71389886870823,1.28994391164703,0.708481303387018,1.32791089262103,0.553434038691423,0.533530756712611,0,1,23.3110581830219,1,7.16296788722735,0.548139065366518,0.548139065366518,0,0.497844759041123,158904.83406296,73263.0369798981,9.87982122174978,5,166470.114066505,73263.0369798981,12.5107856308683,5,7602042.18540253,73263.0369798981,519.622866554661,5,63228.1679416,73263.0369798981,4.7520057840819,5,60,3,0.5,100,"BCS",TRUE
0.45,"03",5,14788.6,100,5,5,59.1885637600899,99.9938345457433,0.589555650505565,1.44230120114403,0.580835665720073,1.50736634939102,0.40876042399322,0.385331453070272,0,1,21.1873151367736,1,6.51038905011223,0.405290808283203,0.405290808283203,0,0.478530495445532,167053.035418245,73298.1370660946,9.87982122174978,5,159230.662257227,73298.1370660946,12.5107856308683,5,7604241.74568674,73298.1370660946,519.622866554661,5,60060.5589189756,73298.1370660946,4.7520057840819,5,60,3,0.3,100,"BCS",TRUE
0.6,"03",5,14788.6,100,5,5,44.8328370747265,85.2651873835042,0.479823872331918,1.59097665665943,0.468804762016272,1.68631514933552,0.301590768364511,0.278005426329119,0,1,19.1112973849856,1,5.87247513077751,0.299431319601835,0.299431319601835,0,0.497892413381914,175254.718592282,73298.1534569193,9.87982122174978,5,152844.632481389,73298.1534569193,12.5107856308683,5,7604685.8820392,73298.1534569193,519.622866554661,5,57086.8128670048,73298.1534569193,4.7520057840819,5,60,3,0,100,"BCS",TRUE
0.8,"03",5,14788.6,100,5,5,35.9151705774515,73.4318359014362,0.448368851917915,1.72099322773802,0.446034447116671,1.85470769606892,0.26052912044705,0.240487731873895,0,1,18.4787235491316,1,5.67809930978528,0.199760658187588,0.260574643136312,0.4,0.510455094821518,183929.944311321,73298.1623463247,9.87982122174978,5,151495.49611001,73298.1623463247,12.5107856308683,5,7614366.33832789,73298.1623463247,519.622866554661,5,55582.6829778325,73298.1623463247,4.7520057840819,5,60,3,0,100,"BCS",TRUE
1,"03",5,14788.6,100,5,5,27.385166733093,61.520947076163,0.448549282614466,1.81595267536186,0.446384084633547,1.98663150829535,0.2470049405473,0.224693951933024,0,1,18.4822818492187,1,5.67919269598239,0.133109725777279,0.246975964413792,0.4,0.51223785263397,190821.085953413,73296.6222436108,9.87982122174978,5,151516.62665834,73296.6222436108,12.5107856308683,5,7626678.17759196,73296.6222436108,519.622866554661,5,54218.4000343503,73296.6222436108,4.7520057840819,5,60,3,0.1,100,"BCS",TRUE
0,"06",10,558.6,89.4736842105263,19,17,7.9168228575388,14.5669925906498,0.997264681737378,1.00295067229454,0.996356012036909,1.00299444469141,0.994330737578394,0.993381386417809,0,1,25.273289600676,0,1.65304961425713,1,1,0,0.550652105319294,4670.00999794609,5586.01780398658,8.36180761856218,10,9521.15651763625,5586.01780398658,17.0469504732122,10,559408.489420619,5586.01780398658,1001.44963742969,10,10671.4688548463,5586.01780398658,19.1031421518176,10,60,3,0.3,89.5,"COL",TRUE
0.15,"06",10,558.6,94.7368421052632,19,18,6.9199051009922,12.3907335762717,0.921006291030339,1.11726578031222,0.911793375670177,1.15689318971097,0.824339478805983,0.788139634479109,0,1,24.2874168043052,0,1.58856664937614,0.825803870612785,0.825803870612785,0,0.557977355151626,4677.52587866046,5586.01909290529,8.36180761856218,10,9572.01290837476,5586.01909290529,17.0469504732122,10,559113.443559439,5586.01909290529,1001.44963742969,10,10705.8687518094,5586.01909290529,19.1031421518176,10,60,3,0.2,94.7,"COL",TRUE
0.3,"06",10,558.6,94.7368421052632,19,18,5.88166112614591,10.1919562439277,0.84494561442972,1.24304027522921,0.827603027748796,1.33274120908114,0.679741140546646,0.620978042931073,0,1,23.2618029784453,0,1.52148434366912,0.680914308006805,0.680914308006805,0,0.56850579096869,4678.03316770111,5586.02498863142,8.36180761856218,10,9625.59079057256,5586.02498863142,17.0469504732122,10,558778.383216483,5586.02498863142,1001.44963742969,10,10746.98178519,5586.02498863142,19.1031421518176,10,60,3,0.1,94.7,"COL",TRUE
0.45,"06",10,558.6,94.7368421052632,19,18,4.81669481344525,8.1559705755859,0.771155445344562,1.37796971519584,0.747365713570927,1.52719913941755,0.559631635471004,0.489370177261862,0,1,22.2210708290072,0.1,1.45341319403423,0.560603966528105,0.560603966528105,0,0.581248101517592,4671.06682237892,5586.02722373537,8.36180761856218,10,9680.2255739472,5586.02722373537,17.0469504732122,10,558406.025978642,5586.02722373537,1001.44963742969,10,10794.4698319767,5586.02722373537,19.1031421518176,10,60,3,0.1,94.7,"COL",TRUE
0.6,"06",10,558.6,89.4736842105263,19,17,3.74676791472451,6.31878673350352,0.700164950554228,1.52167427253237,0.671259799879827,1.74040100269006,0.460128007151633,0.38569260695799,0,1,21.1711501438696,0.1,1.38474105000432,0.460871343457128,0.460871343457128,0,0.590971602367215,4655.35911414901,5586.02585590088,8.36180761856218,10,9735.93696763644,5586.02585590088,17.0469504732122,10,558000.705778708,5586.02585590088,1001.44963742969,10,10847.8766503516,5586.02585590088,19.1031421518176,10,60,3,0.1,89.5,"COL",TRUE
0.8,"06",10,558.6,89.4736842105263,19,17,2.41847656381455,4.00945761543981,0.610363266495292,1.72588732333576,0.576604380379927,2.05339870140747,0.353651862576748,0.280804882161805,0,1,19.762812770232,0.1,1.29262595185052,0.354137975707336,0.354137975707336,0,0.610030741126578,4621.45691537539,5586.01704955949,8.36180761856218,10,9809.90602388758,5586.01704955949,17.0469504732122,10,557422.767017938,5586.01704955949,1001.44963742969,10,10926.9405390112,5586.01704955949,19.1031421518176,10,60,3,0.1,89.5,"COL",TRUE
1,"06",10,558.6,94.7368421052632,19,18,1.94513147164279,3.49482671603618,0.540199219554482,1.85120903396287,0.502657025689935,2.20248247837444,0.291808871739396,0.228222939626256,0,1,18.5872332968492,0.1,1.21573484563885,0.271449540657497,0.29212044319162,0.1,0.617393181478313,4622.85362814058,5586.01451317236,8.36180761856218,10,9890.00121868256,5586.01451317236,17.0469504732122,10,556894.623464857,5586.01451317236,1001.44963742969,10,10986.8264527748,5586.01451317236,19.1031421518176,10,60,3,0.2,94.7,"COL",TRUE
0,"09",16,92.8,93.9393939393939,33,31,7.85826731953734,11.1988125381738,0.998050431745158,1.00184546052509,0.998025677699482,1.00294223242442,0.996211961894861,0.995097868485356,0,1,21.7609082143195,0,0.67403997825935,1,1,0,0.6369007364615,2051.88752063709,1484.84005522651,22.104595728293,16,3050.3050467255,1484.84005522651,32.8734728745246,16,135807.955814632,1484.84005522651,1463.38997556762,16,5716.91626326106,1484.84005522651,61.6068430811995,16,60,4,0.3,93.9,"CDMX",TRUE
0.15,"09",16,92.8,93.9393939393939,33,31,6.87013230102628,9.76382799292635,0.855305036979448,1.24500362277429,0.851327217996499,1.25495481957815,0.686989998529917,0.678372802522619,0,1,20.1447017371648,0,0.623978291127783,0.688094212735703,0.688094212735703,0,0.645151143721986,2127.90749159142,1484.8396795768,22.104595728293,16,3010.0688272003,1484.8396795768,32.8734728745246,16,136057.589427071,1484.8396795768,1463.38997556762,16,5660.53746916557,1484.8396795768,61.6068430811995,16,60,4,0,93.9,"CDMX",TRUE
0.3,"09",16,92.8,93.9393939393939,33,31,5.79878520318532,8.26236012346341,0.722026000998551,1.52697774795158,0.71529252448287,1.55181724508384,0.472846445841885,0.460938636137031,0,1,18.5070318738128,0,0.573251779705648,0.473466622234535,0.473466622234534,0,0.657333460726174,2211.00878277701,1484.57448835627,22.104595728293,16,2967.2199716709,1484.57448835627,32.8734728745246,16,136285.698305099,1484.57448835627,1463.38997556762,16,5598.30858213097,1484.57448835627,61.6068430811995,16,60,4,0,93.9,"CDMX",TRUE
0.45,"09",16,92.8,90.9090909090909,33,30,4.66006427918759,6.62438423998124,0.598503061368557,1.84549625888956,0.591752287569967,1.89077822547019,0.324304673328722,0.312967581072503,0,1,16.8512247281033,0,0.521963469424492,0.325779930833048,0.325779930833048,0,0.654681332807221,2300.95827258116,1484.83882119369,22.104595728293,16,2925.25881678495,1484.83882119369,32.8734728745246,16,136558.879760012,1484.83882119369,1463.38997556762,16,5533.91086173569,1484.83882119369,61.6068430811995,16,60,3,1,90.9,"CDMX",TRUE
0.6,"09",16,92.8,90.9090909090909,33,30,3.51712614463576,5.05579949931911,0.494484505207999,2.18968161834936,0.485531567643027,2.20300963814844,0.225824841869364,0.220394663389263,0,1,15.3149935156142,0,0.474379000850425,0.224157213391153,0.226219573448374,0.0625,0.67630022391461,2395.01809275386,1484.46858346245,22.104595728293,16,2881.22863892129,1484.46858346245,32.8734728745246,16,136769.373513486,1484.46858346245,1463.38997556762,16,5465.18193252513,1484.46858346245,61.6068430811995,16,60,3,0.5,90.9,"CDMX",TRUE
0.8,"09",16,92.8,93.9393939393939,33,31,3.09754933919642,4.74436863695151,0.487853612993533,2.21292517801313,0.487716221637272,2.21351082879269,0.220456442829916,0.220336045025489,0,1,15.2140748805559,0,0.471253065392642,0.136159178035403,0.220927252824439,0.125,0.679360283972493,2419.88637340238,1484.84015304163,22.104595728293,16,2868.80021754825,1484.84015304163,32.8734728745246,16,136924.179225947,1484.84015304163,1463.38997556762,16,5456.93731374147,1484.84015304163,61.6068430811995,16,60,3,0,93.9,"CDMX",TRUE
1,"09",16,92.8,93.9393939393939,33,31,3.11917975698155,4.69140905813677,0.518313488803954,2.22131184995713,0.518098121220837,2.22196253332583,0.23333666041261,0.233171402960314,0,1,15.6818420537281,0,0.485742064295177,0.0827045101180994,0.233964736200601,0.125,0.679021138135486,2432.80343642651,1484.84039124626,22.104595728293,16,2869.65211517052,1484.84039124626,32.8734728745246,16,136969.229606658,1484.84039124626,1463.38997556762,16,5460.47213245568,1484.84039124626,61.6068430811995,16,60,3,0,93.9,"CDMX",TRUE
0,"13",84,245.7,81.592039800995,201,164,10.8667629746926,23.813859255,1.00331269063431,1.01588047025437,0.629797674160179,1.01715369183884,0.987628682716077,0.619176511095008,0,1,10.6473040379683,0,1.09410553950724,1,1,0,0.63647544365902,295356.216029176,20431.5955300056,1217.01531913505,84,33061.1757360122,20431.5955300056,135.767515839493,84,1900690.71869825,20431.5955300056,7815.20519132333,84,42283.6465351076,20431.5955300056,174.233086948214,84,60,4,0.4,83.6,"HGO",TRUE
0.15,"13",84,245.7,83.0845771144279,201,167,9.42675666821811,19.9191277108807,0.788217191593304,1.15545460854889,0.600656176638119,1.24912304226992,0.682170624238722,0.480862298037991,0,1,9.44898528336577,0,0.970967589953932,0.707691562561592,0.707691562561592,0,0.637372255878263,300866.942013887,20482.5355673419,1217.01531913505,84,32305.1756937891,20482.5355673419,135.767515839493,84,1905004.27288392,20482.5355673419,7815.20519132333,84,41884.3863992267,20482.5355673419,174.233086948214,84,60,4,0.7,85.1,"HGO",TRUE
0.3,"13",84,245.7,84.0796019900498,201,169,8.01039982841499,16.7306587268679,0.609229479201899,1.31759448584315,0.505585011473428,1.53650478214495,0.46238010689005,0.32904877182851,0,1,8.30867675527558,0,0.85379070903818,0.500853457240386,0.500853457240386,0,0.645449369455214,303849.943325219,20490.0381856837,1217.01531913505,84,31563.435117979,20490.0381856837,135.767515839493,84,1905214.06504499,20490.0381856837,7815.20519132333,84,41423.5472834368,20490.0381856837,174.233086948214,84,60,5,0,86.1,"HGO",TRUE
0.45,"13",84,245.7,88.0597014925373,201,177,6.28877088891015,13.2634815344954,0.478058559929165,1.48312612577229,0.415896125642305,1.86897182379445,0.322331696287956,0.222526696415325,0,1,7.36202608210154,0,0.756513901519155,0.354486988377618,0.354486988377618,0.0238095238095238,0.648980242397966,306597.174849484,20508.2435307987,1217.01531913505,84,30866.4296217055,20508.2435307987,135.767515839493,84,1906375.44798241,20508.2435307987,7815.20519132333,84,41017.4911630252,20508.2435307987,174.233086948214,84,60,5,0.1,88.1,"HGO",TRUE
0.6,"13",84,245.7,89.0547263681592,201,179,4.86297381408067,10.4314231093226,0.452987629451615,1.6424348585252,0.447284231676601,2.1903651151025,0.275802493535951,0.20420533024042,0,1,7.1774750793908,0,0.737549638484363,0.250907251343598,0.274832525636698,0.0833333333333333,0.649734426728667,309030.761529236,20564.4132607699,1217.01531913505,84,30419.848055075,20564.4132607699,135.767515839493,84,1911116.96652972,20564.4132607699,7815.20519132333,84,40777.4829573807,20564.4132607699,174.233086948214,84,60,4,0.5,89.1,"HGO",TRUE
0.8,"13",84,245.7,89.0547263681592,201,179,3.57154069706041,7.49361059214385,0.452953335108067,1.88150665499844,0.449348990704172,2.20442692929848,0.240739693322235,0.203839367380242,0,1,7.17582112957866,0,0.737379680376181,0.158282862787015,0.240022603473704,0.130952380952381,0.650799785373416,311297.584426047,20556.4929222713,1217.01531913505,84,29835.6284610143,20556.4929222713,135.767515839493,84,1910045.79155347,20556.4929222713,7815.20519132333,84,40455.7978715686,20556.4929222713,174.233086948214,84,60,4,0,89.6,"HGO",TRUE
1,"13",84,245.7,89.5522388059701,201,180,2.9135265723287,5.99193048111579,0.455191181141945,2.13438230269475,0.437870162301117,2.20748965905086,0.213266002331095,0.198356608605535,0,1,7.1987619826176,0,0.739737057821346,0.0998613318657809,0.212846232177291,0.0476190476190476,0.651755049644455,310854.816486783,20586.4312199866,1217.01531913505,84,29334.005189827,20586.4312199866,135.767515839493,84,1912494.87580177,20586.4312199866,7815.20519132333,84,40339.5583862326,20586.4312199866,174.233086948214,84,60,3,0.8,89.6,"HGO",TRUE
0,"17",36,134.6,84.7058823529412,85,72,6.93398904359222,13.2977941504003,0.997285754272558,1.0028175037258,0.996524340701325,1.00305499594018,0.994483792481996,0.993489235121419,0,1,17.452735167451,0,0.81148650151944,1,1,0,0.631857813010144,12677.7472486739,4846.03284399657,94.1237828730689,36,6821.21240820446,4846.03284399657,50.6796092678117,36,456751.206729929,4846.03284399657,3393.14326735202,36,12022.3931992993,4846.03284399657,89.314211212113,36,60,4,0.4,84.7,"MOR",TRUE
0.15,"17",36,134.6,83.5294117647059,85,71,6.0052406325047,11.4973256802362,0.837197516667556,1.20628802259163,0.750540812287971,1.27862832139244,0.694027878075829,0.586989041092586,0,1,15.9852673434905,0,0.743254770553919,0.694269327708803,0.694269327708803,0,0.656349072873378,11589.5387109312,4842.79121273976,94.1237828730689,36,6940.72718423756,4842.79121273976,50.6796092678117,36,456757.247411745,4842.79121273976,3393.14326735202,36,11937.1427205242,4842.79121273976,89.314211212113,36,60,4,0.1,83.5,"MOR",TRUE
0.3,"17",36,134.6,85.8823529411765,85,73,5.03731744288057,9.61076364348001,0.69149528527785,1.43499655454135,0.581709444688541,1.60966648587943,0.481879404580775,0.361385075598891,0,1,14.5280084770078,0,0.675497717689465,0.48203350422995,0.482033504229949,0,0.651312273102712,10847.7956049493,4843.08994368985,94.1237828730689,36,7051.23904561342,4843.08994368985,50.6796092678117,36,457032.436994378,4843.08994368985,3393.14326735202,36,11857.4855037605,4843.08994368985,89.314211212113,36,60,4,0,85.9,"MOR",TRUE
0.45,"17",36,134.6,85.8823529411765,85,73,4.04151443809539,7.70229738254297,0.564381414627384,1.6866754908034,0.449974552615926,2.00225704670093,0.334611736344469,0.224733659126003,0,1,13.1226691954017,0,0.610154730121237,0.334693719903258,0.334693719903258,0.0277777777777778,0.660738485764684,10248.8764494103,4841.6978345612,94.1237828730689,36,7147.31893037378,4841.6978345612,50.6796092678117,36,457117.206334868,4841.6978345612,3393.14326735202,36,11768.8343204903,4841.6978345612,89.314211212113,36,60,4,0,85.9,"MOR",TRUE
0.6,"17",36,134.6,87.0588235294118,85,74,3.2774546380582,6.27572074573282,0.46107498564595,1.96564768489865,0.451268490413736,2.20678435403858,0.234566443004114,0.204491430976425,0,1,11.8633427336994,0,0.55160078915595,0.232401440990785,0.234568967780989,0.0277777777777778,0.662549394171581,10246.5723271518,4843.22915450887,94.1237828730689,36,7239.83110481286,4843.22915450887,50.6796092678117,36,457374.164267921,4843.22915450887,3393.14326735202,36,11708.2023153946,4843.22915450887,89.314211212113,36,60,4,0,87.1,"MOR",TRUE
