"gamma","state_code","n","pairs","pres","cohesion","cap6","pct_ceil","eq_min","n_tiny","disp_km"
0.8,"09",16,33,31,93.9393939393939,33,93.9393939393939,0.487716221637271,0,3.09754933919642
1,"09",16,33,31,93.9393939393939,33,93.9393939393939,0.518098121220836,0,3.11917975698154
0,"10",39,94,77,81.9148936170213,88,87.5,0.987978368189839,0,29.5017178858826
0.15,"10",39,94,78,82.9787234042553,88,88.6363636363636,0.76194878694577,0,25.8871573010789
0.3,"10",39,94,79,84.0425531914894,88,89.7727272727273,0.555456888851745,0,22.110426125201
0.45,"10",39,94,79,84.0425531914894,88,89.7727272727273,0.455460050221991,0,18.1886388925669
0.6,"10",39,94,80,85.1063829787234,88,90.9090909090909,0.448024772225779,0,14.2902728222963
0.8,"10",39,94,83,88.2978723404255,88,94.3181818181818,0.447177082691008,0,9.98076732213921
1,"10",39,94,84,89.3617021276596,88,95.4545454545455,0.447182775924691,0,7.90506961258892
0,"11",46,102,89,87.2549019607843,98,90.8163265306122,0.993259133660595,0,23.5387282928368
0.15,"11",46,102,92,90.1960784313726,98,93.8775510204082,0.722974891610058,0,19.7319585020548
0.3,"11",46,102,93,91.1764705882353,98,94.8979591836735,0.513246979832422,0,16.0174124610457
0.45,"11",46,102,95,93.1372549019608,98,96.9387755102041,0.450816733716899,0,12.5460546048438
0.6,"11",46,102,95,93.1372549019608,98,96.9387755102041,0.450810142143543,0,10.5444626488508
0.8,"11",46,102,95,93.1372549019608,98,96.9387755102041,0.448910994017518,0,9.27979061974124
1,"11",46,102,95,93.1372549019608,98,96.9387755102041,0.461967690607906,0,8.61134921333849
0,"12",81,202,174,86.1386138613861,186,93.5483870967742,0.990382021798674,0,54.0364799882529
0.15,"12",81,202,176,87.1287128712871,186,94.6236559139785,0.755037687083765,0,46.7873651877952
0.3,"12",81,202,177,87.6237623762376,186,95.1612903225806,0.56164638145216,0,39.0347155204541
0.45,"12",81,202,177,87.6237623762376,186,95.1612903225806,0.449637095154779,0,31.0093369622774
0.6,"12",81,202,179,88.6138613861386,186,96.236559139785,0.446475496588001,0,24.0830604339642
0.8,"12",81,202,179,88.6138613861386,186,96.236559139785,0.456029204061026,0,18.419686025663
1,"12",81,202,180,89.1089108910891,186,96.7741935483871,0.47188932593004,0,16.0127599099276
0,"13",84,201,168,83.5820895522388,187.5,89.6,0.993405445861115,0,10.8383183659806
0.15,"13",84,201,171,85.0746268656716,187.5,91.2,0.761792394102063,0,9.37571353594349
0.3,"13",84,201,173,86.0696517412935,187.5,92.2666666666667,0.57715206594825,0,7.9081961321521
0.45,"13",84,201,177,88.0597014925373,187.5,94.4,0.447610491371935,0,6.40090670769051
0.6,"13",84,201,179,89.0547263681592,187.5,95.4666666666667,0.445693156255227,0,4.90295780123608
0.8,"13",84,201,180,89.5522388059701,187.5,96,0.447578098596037,0,3.60338483526408
1,"13",84,201,180,89.5522388059701,187.5,96,0.451179654422629,0,2.92385266226281
0,"14",125,309,273,88.3495145631068,288.5,94.6273830155979,0.983823570683791,0,29.8278862227067
0.15,"14",125,309,274,88.673139158576,288.5,94.9740034662045,0.759097314149269,0,25.5932298130547
0.3,"14",125,309,276,89.3203883495146,288.5,95.6672443674177,0.566075775451566,0,21.3220449202401
0.45,"14",125,309,277,89.6440129449838,288.5,96.0138648180243,0.452035676356907,0,17.1040375612839
0.6,"14",125,309,282,91.2621359223301,288.5,97.7469670710572,0.452636024238276,0,14.2035263701002
0.8,"14",125,309,281,90.9385113268608,288.5,97.4003466204506,0.463092043704708,0,12.8184632752515
1,"14",125,309,281,90.9385113268608,288.5,97.4003466204506,0.477798090346296,0,12.8027341998434
