"region","lon","lat"
"01001",-102.294819446325,21.8108961348322
"01002",-102.045231193391,22.1275407285874
"01003",-102.705009549799,21.9009708410172
"01004",-102.297272452267,22.3593702120557
"01005",-102.448340647587,21.9316425000252
"01006",-102.301670281017,22.1042278876166
"01007",-102.340315038647,22.2691200670188
"01008",-102.525438716366,22.1476359907478
"01009",-102.193019281133,22.2373626026568
"01010",-102.034566148649,21.9226841903696
"01011",-102.230305634668,22.0320971102152
"02001",-116.253103416575,31.265523657434
"02002",-115.807090194912,31.5273106400719
"02003",-115.775383695462,32.0536332434223
"02004",-116.418095289833,32.6664537499814
"02005",-117.138057482289,32.7080497774203
"02006",-114.284205871774,28.9594484013987
"03001",-111.819054000183,25.4898217820655
"03002",-113.229639452483,27.2868040258276
"03003",-110.669571409154,24.1772089887919
"03008",-109.752503647756,23.2766090534731
"03009",-111.465707065398,25.9558259650171
"04001",-90.2164142196826,20.3821233102913
"04002",-90.2653300489204,19.6166860176172
"04003",-91.482828960064,18.5229372150818
"04004",-90.4936820623441,19.1154907098913
"04005",-90.134128372412,20.1231325462844
"04006",-89.6091456893457,19.4733623300131
"04007",-91.9749604566276,18.2747510797139
"04008",-90.2339397232086,19.9703243572995
"04009",-90.4739845591174,18.5507932683391
"04010",-89.6618674126861,18.4019026350795
"04011",-90.716204244952,18.0990659166124
"04012",-90.6391720559728,19.6032850751534
"05001",-101.246055135531,27.1219430160038
"05002",-102.010382913209,29.4331651531731
"05003",-100.915616935,28.2777948850976
"05004",-100.64319698319,25.3420160980035
"05005",-100.799534475182,26.8524554251802
"05006",-101.386659814468,26.5861326333481
"05007",-102.298351464789,26.6988302150495
"05008",-101.2795349112,27.305481905023
"05009",-103.181040588267,26.3195956911805
"05010",-101.528343898181,26.9476268385294
"05011",-101.551279827802,25.521281845912
"05012",-100.393716832149,28.0970619053144
"05013",-100.050494593045,27.8393463238075
"05014",-100.950883938141,29.0030520899293
"05015",-100.693249637253,27.6567859257896
"05016",-101.914715622646,27.1517643755051
"05017",-103.214935911983,25.5616082523049
"05018",-101.195062184111,26.8967305738528
"05019",-101.083981951569,28.3276686622074
"05020",-101.899604933457,28.4031749863364
"05021",-101.764569617709,27.2267862031297
"05022",-100.620053860204,28.4965343558228
"05023",-102.892614423659,27.9641121658281
"05024",-102.114456737177,25.5035834298036
"05025",-100.614250102609,28.7800904415664
"05026",-101.021549651534,27.4217043659249
"05027",-101.280898320099,25.9132369669941
"05028",-101.142727385477,27.9227495519261
"05029",-101.756274287059,26.9402027715764
"05030",-101.125094260243,25.0288896757237
"05031",-101.967416030914,27.8395484443463
"05032",-101.390305812631,28.0640472781159
"05033",-102.718373274067,26.084180327163
"05034",-103.609355173851,27.480316747961
"05035",-103.20987224411,25.052409232296
"05036",-102.924604024679,25.2215179091589
"05037",-100.780003898307,28.0975054762902
"05038",-101.394205421573,28.8118085859724
"06001",-103.998266548418,19.0091158486164
"06002",-103.631206637589,19.1143608253411
"06003",-103.769824497014,19.3913111897988
"06004",-103.919284548091,19.1870700940801
"06005",-103.595956310851,19.3264477987445
"06006",-103.681439254838,18.9684010950864
"06007",-104.273048612648,19.1482368852466
"06008",-104.030986278037,19.3709852630609
"06009",-103.810773193051,18.8854630957867
"06010",-103.844266542839,19.3078268257224
"07001",-92.6825211843097,15.4133961986719
"07002",-92.814906864714,16.553443011358
"07003",-92.7746420889411,15.2306756215293
"07004",-91.8613522959103,16.6614344804172
"07005",-92.8574543908129,17.3850909897867
"07006",-92.0972277482349,15.5580987762094
"07007",-92.393658212845,16.5179514274138
"07008",-92.6814964158976,15.7582034794075
"07009",-93.9372827222666,16.249037641762
"07010",-92.1603430895746,15.4911158529383
"07011",-92.2432267508457,15.6205309673352
"07012",-93.3162270158801,16.8647602405892
"07013",-92.9576002598257,17.0137664926909
"07014",-92.741821472659,17.0301727568867
"07015",-92.1643681597608,15.0878435092396
"07016",-91.996201691097,17.7803709044519
"07017",-93.8681010595657,16.7119810517553
"07018",-93.1285419670931,17.1204028473168
"07019",-92.1789630489926,16.2978121457642
