"state_code","abbr","n","true_km2","hex_km2","pop","share_n","share_true","share_hex","share_pop","km2_per_cell_true","km2_per_cell_hex","ink_ratio_hex","ink_ratio_true"
"03","BCS",5,73942.9179265204,73298.1445098194,798447,0.00202511138112596,0.0378164026727527,0.0375982542820036,0.00633617572596523,14788.5835853041,14659.6289019639,18.5660179644534,18.6737396398053
"02","BC",6,73231.2636887617,71813.9423143019,3769020,0.00243013365735115,0.0374524435002787,0.0368369333519016,0.029909528164897,12205.2106147936,11968.990385717,15.1583980743075,15.4116805003647
"04","CAMP",12,57252.5846736745,57251.9663276456,928363,0.00486026731470231,0.0292805160627698,0.0293673735198462,0.00736714034304626,4771.04872280621,4770.99719397047,6.04233710170835,6.02446617991488
"05","COAH",38,150674.267055296,150674.485571944,3146771,0.0153908464965573,0.0770588842740453,0.077288417875095,0.0249715936378637,3965.11229092885,3965.11804136694,5.02171325614762,5.00679961243731
"23","QROO",11,44469.7118676141,43578.0484930347,1857985,0.00445524503847712,0.0227430101202948,0.022353342766202,0.0147442716375758,4042.70107887401,3961.64077209406,5.01730938997753,5.10477199881891
"08","CHIH",67,246998.460486889,246996.163712478,3741869,0.0271364925070879,0.126321674925032,0.126696584641335,0.0296940680189691,3686.54418637148,3686.50990615639,4.66886369372323,4.65504799089408
"25","SIN",18,56818.6693788335,56818.7243448377,3026943,0.00729040097205346,0.0290586000770917,0.0291451422158455,0.0240206836026441,3156.59274326853,3156.59579693543,3.99774200727347,3.98587131057442
"10","DGO",39,122140.62404252,122137.312572183,1832650,0.0157958687727825,0.062466009605994,0.0626502862537577,0.014543222586083,3131.81087288513,3131.7259633893,3.96624504514173,3.95457891582562
"26","SON",72,180825.867145157,179576.409677689,2944840,0.0291616038882139,0.092479225832098,0.0921136484322124,0.0233691450088127,2511.47037701608,2494.11680107901,3.15873052748795,3.17126678582569
"28","TAM",43,79418.3100164153,79374.8193444837,3527735,0.0174159578776833,0.0406166658740026,0.0407152822388594,0.0279947809618396,1846.93744224222,1845.92603126706,2.33781469413358,2.33215228006773
"27","TAB",17,24685.430675939,24684.2068132806,2402598,0.00688537869582827,0.0126247950820564,0.0126617541374592,0.0190661160062629,1452.08415740818,1452.01216548709,1.83893358619923,1.83356582691748
"18","NAY",20,27796.725681066,27568.9007604531,1235456,0.00810044552450385,0.014215995267915,0.0141414567585402,0.00980411513562967,1389.8362840533,1378.44503802266,1.74576283684179,1.75496461582411
"32","ZAC",58,74435.3148551017,74184.7557317058,1622138,0.0234912920210612,0.0380682277433371,0.0380530411581612,0.0128726783615766,1283.36749750175,1279.04751261562,1.61987859688793,1.62052507410861
"19","NL",51,63560.869220719,63487.8431064329,5784442,0.0206561360874848,0.0325067429320204,0.0325660640510734,0.0459031607466166,1246.29155334743,1244.85966875359,1.57658063023726,1.57370879017958
"24","SLP",58,60524.9206555159,60449.8396894427,2822255,0.0234912920210612,0.0309540769478409,0.0310077213979891,0.0223963564563258,1043.53311475027,1042.23861533522,1.31996662295922,1.31768303421068
"12","GRO",81,63595.8355148943,63593.9602631938,3540685,0.0328068043742406,0.0325246256379994,0.0326204968047299,0.0280975473015607,785.133771788818,785.110620533257,0.994321069270101,0.991398774076796
"11","GTO",46,30326.1985261722,30321.9241918457,6166934,0.0186310247063588,0.0155096359077851,0.0155536190405465,0.0489384737051171,659.26518535157,659.172265040125,0.834823595893679,0.832462849050468
"22","QRO",18,11601.086998984,11586.4666653301,2368467,0.00729040097205346,0.00593310880470225,0.00594327350066388,0.0187952652000066,644.504833276886,643.69259251834,0.815219015174395,0.813824757711658
"14","JAL",125,77979.5757546371,77167.4613543841,8348151,0.050627784528149,0.0398808583658845,0.0395830188294895,0.0662477931821303,623.836606037097,617.339690835073,0.781843787920077,0.787726714442951
"07","CHPS",124,73618.605424551,73619.2351024891,5543828,0.0502227622519239,0.0376505405116399,0.0377629575747198,0.0439937383477255,593.698430843153,593.703508891041,0.751909211709543,0.749670842929346
"06","COL",10,5586.0129116795,5586.01890851007,731391,0.00405022276225192,0.00285683767326016,0.00286534619328742,0.00580404447682744,558.60129116795,558.601890851008,0.707453975122664,0.705353221527934
"16","MICH",113,58284.7663438562,58268.0561533896,4748846,0.0457675172134467,0.0298084016096968,0.0298885763947234,0.0376850595613072,515.794392423506,515.646514631766,0.653052169190902,0.651300385613642
"01","AGS",11,5568.35431784495,5568.21917544877,1425607,0.00445524503847712,0.00284780659207203,0.00285621582724246,0.0113130821058456,506.214028894995,506.201743222615,0.641090625223786,0.639203134165986
"31","YUC",106,39178.9313920715,39172.6721937154,2320898,0.0429323612798704,0.020037162278111,0.0200936067330815,0.0184177754691811,369.612560302562,369.553511261466,0.468029387018662,0.466714657213736
"30","VER",212,71523.0052297277,71513.3056156121,8062579,0.0858647225597408,0.0365787940478705,0.0366827218760254,0.0639816009684763,337.372666177961,337.326913281189,0.427215284490126,0.426004917472605
"13","HGO",84,20637.8333788619,20546.7375118333,3082841,0.0340218712029162,0.0105547446494305,0.0105394408931048,0.0244642691515033,245.688492605499,244.604017998016,0.309784280536615,0.310234101660047
"15","MEX",125,22229.6219715104,22229.5836830703,16992418,0.050627784528149,0.0113688282706545,0.0114026561721108,0.134845451804634,177.836975772083,177.836669464563,0.225225264711532,0.224557096001967
"20","OAX",570,93951.2272385085,93947.3435087706,4132148,0.23086269744836,0.0480491917343777,0.048190252754465,0.032791175686922,164.826714453524,164.81990089258,0.208739884299604,0.208128867354699
"21","PUE",217,34155.3386123635,34193.0930914805,6583278,0.0878898339408667,0.0174679614303685,0.0175393335989492,0.0522424234305858,157.397873789694,157.571857564426,0.199560436201869,0.198748372219261
"17","MOR",36,4846.03430151286,4845.05621669236,1971520,0.0145808019441069,0.00247839265274997,0.00248526967311428,0.0156452427866283,134.612063930913,134.584894908121,0.170448078414421,0.169976429434435
"09","CDMX",16,1484.83872049124,1484.8400061454,9209944,0.00648035641960308,0.000759386571868737,0.000761648094811838,0.0730866589896375,92.8024200307026,92.8025003840878,0.117531821630652,0.117182840371494
"29","TLAX",60,3970.17062477457,3969.71347349642,1342977,0.0243013365735115,0.00203045234399874,0.00203626295865129,0.0106573614378031,66.1695104129095,66.1618912249404,0.0837922207485005,0.083553113955548
